       U           P           F    n         Mã
 <space>    0.227477           0    3         000
       n   0.0720721    0.227477    4        0011
       h   0.0472973     0.29955    5       01001
       i    0.045045    0.346847    5       01011
       g   0.0382883    0.391892    5       01100
       c   0.0337838     0.43018    5       01101
       m   0.0315315    0.463964    5       01110
       l   0.0247748    0.495495    6      011111
       a   0.0225225     0.52027    6      100001
       u   0.0202703    0.542793    6      100010
       đ   0.0202703    0.563063    6      100100
       k    0.018018    0.583333    6      100101
       ,    0.018018    0.601351    6      100110
       t    0.018018    0.619369    6      100111
       1   0.0157658    0.637387    6      101000
       s   0.0157658    0.653153    6      101001
       à   0.0157658    0.668919    6      101010
       ư   0.0157658    0.684685    6      101011
       y   0.0157658     0.70045    6      101100
       r   0.0135135    0.716216    7     1011011
       o   0.0135135     0.72973    7     1011101
       .   0.0135135    0.743243    7     1011111
       ô   0.0135135    0.756757    7     1100000
       d  0.00900901     0.77027    7     1100010
       ở  0.00900901    0.779279    7     1100011
       ạ  0.00900901    0.788288    7     1100100
       á  0.00900901    0.797297    7     1100110
       ó  0.00675676    0.806306    8    11001110
       ộ  0.00675676    0.813063    8    11010000
       ề  0.00675676     0.81982    8    11010001
       ê  0.00675676    0.826577    8    11010011
       v  0.00675676    0.833333    8    11010101
       ẽ  0.00675676     0.84009    8    11010111
       ớ   0.0045045    0.846847    8    11011000
       ợ   0.0045045    0.851351    8    11011001
       ầ   0.0045045    0.855856    8    11011011
       0   0.0045045     0.86036    8    11011100
       b   0.0045045    0.864865    8    11011101
       ù   0.0045045    0.869369    8    11011110
       ắ   0.0045045    0.873874    8    11011111
       /   0.0045045    0.878378    8    11100000
       â   0.0045045    0.882883    8    11100010
       ả   0.0045045    0.887387    8    11100011
       ơ   0.0045045    0.891892    8    11100100
       ồ   0.0045045    0.896396    8    11100101
       p   0.0045045    0.900901    8    11100110
       ờ   0.0045045    0.905405    8    11100111
       ặ   0.0045045     0.90991    8    11101000
       N   0.0045045    0.914414    8    11101010
       T   0.0045045    0.918919    8    11101011
       ị   0.0045045    0.923423    8    11101100
       ừ   0.0045045    0.927928    8    11101101
       -   0.0045045    0.932432    8    11101110
       6  0.00225225    0.936937    9   111011111
       q  0.00225225    0.939189    9   111100000
       é  0.00225225    0.941441    9   111100010
       Đ  0.00225225    0.943694    9   111100011
       H  0.00225225    0.945946    9   111100100
       M  0.00225225    0.948198    9   111100101
       ỉ  0.00225225     0.95045    9   111100110
       ọ  0.00225225    0.952703    9   111100111
       7  0.00225225    0.954955    9   111101000
       ế  0.00225225    0.957207    9   111101010
       ẩ  0.00225225    0.959459    9   111101011
       ý  0.00225225    0.961712    9   111101100
       ỗ  0.00225225    0.963964    9   111101101
       ủ  0.00225225    0.966216    9   111101110
       ò  0.00225225    0.968468    9   111101111
       ố  0.00225225    0.970721    9   111110001
 <enter>  0.00225225    0.972973    9   111110010
       ụ  0.00225225    0.975225    9   111110011
       ự  0.00225225    0.977477    9   111110100
       C  0.00225225     0.97973    9   111110101
       ổ  0.00225225    0.981982    9   111110110
       í  0.00225225    0.984234    9   111110111
       B  0.00225225    0.986486    9   111111001
       2  0.00225225    0.988739    9   111111010
       3  0.00225225    0.990991    9   111111011
       ấ  0.00225225    0.993243    9   111111100
       ă  0.00225225    0.995495    9   111111101
       ệ  0.00225225    0.997748    9   111111110
